% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
1.016	1	0	0	1	101	8	0	1	1	15	1	0	0	114
1.059	1	0	0	1	106	1	0	1	1	15	1	0	0	114
1.061	1	0	0	1	106	3	0	1	1	14	1	0	0	114
1.063	1	0	0	1	106	5	0	1	1	13	1	0	0	114
1.094	1	0	0	1	109	6	0	1	1	15	1	0	0	114
1.111	1	0	0	2	111	3	0	1	1	15	1	0	0	114
1.134	1	0	0	2	113	6	0	1	1	15	1	0	4	275
1.157	1	0	0	2	115	9	0	1	2	15	1	0	4	553
1.18	1	0	0	2	118	2	0	1	2	15	1	0	4	553
1.198	1	0	0	1	120	0	0	1	4	15	1	0	0	466
1.203	1	0	0	2	120	5	0	5	2	15	1	0	4	553
1.211	1	0	0	3	121	3	0	1	1	15	1	0	0	114
1.235	1	0	0	3	123	7	0	1	1	15	1	0	6	436
1.235	1	0	0	2	123	7	0	2	1	15	1	0	4	275
1.235	1	0	0	1	123	7	0	3	1	15	1	0	0	114
1.237	1	0	0	3	123	9	0	1	1	14	1	0	6	436
1.237	1	0	0	2	123	9	0	2	1	14	1	0	4	275
1.237	1	0	0	1	123	9	0	3	1	14	1	0	0	114
1.243	1	0	0	1	124	5	0	1	1	13	1	0	0	114
1.244	1	0	0	1	124	6	0	1	1	12	1	0	0	114
1.256	1	0	0	3	125	8	0	1	1	15	1	0	8	641
1.264	1	0	0	1	126	6	0	1	1	15	1	0	0	114
1.273	1	0	0	1	127	5	0	1	2	14	1	0	0	231
1.278	1	0	0	3	128	0	0	3	1	15	1	0	6	436
1.279	1	0	0	3	128	1	0	1	1	14	1	0	6	436
1.3	1	0	0	3	130	2	0	1	1	15	1	0	6	436
1.3	1	0	0	1	130	2	0	2	1	15	1	0	0	114
1.301	1	0	0	3	130	3	0	1	1	14	1	0	6	436
1.314	1	0	0	4	131	6	0	2	1	15	1	0	0	114
1.317	1	0	0	1	131	9	0	1	4	14	1	0	0	466
1.323	1	0	0	3	132	5	0	5	1	15	1	0	6	436
1.327	1	0	0	3	132	9	0	1	1	14	1	0	6	436
1.346	1	0	0	4	134	8	0	1	2	15	1	0	2	319
1.346	1	0	0	1	134	8	0	3	2	15	1	0	0	231
1.358	1	0	0	1	136	0	0	1	4	14	1	0	0	466
1.36	1	0	0	1	136	2	0	1	1	13	1	0	0	114
1.378	1	0	0	4	138	0	0	2	3	15	1	0	2	480
1.379	1	0	0	1	138	1	0	1	1	15	1	0	0	114
1.387	1	0	0	1	138	9	0	1	1	14	1	0	0	114
1.411	3	0	0	1	141	3	0	1	1	15	1	0	0	114
1.413	1	0	0	4	141	5	0	2	3	15	1	0	2	480
1.414	1	0	0	4	141	6	0	1	1	14	1	0	2	158
1.431	3	0	0	1	143	3	0	1	1	15	1	0	8	641
1.432	3	0	0	1	143	4	0	1	1	14	1	0	8	641
1.435	1	0	0	4	143	7	0	1	1	15	1	0	2	158
1.442	1	0	0	4	144	4	0	1	3	15	1	0	2	480
1.443	1	0	0	4	144	5	0	1	1	14	1	0	2	158
1.445	1	0	0	4	144	7	0	1	1	13	1	0	2	158
1.453	3	0	0	1	145	5	0	1	1	15	1	0	8	641
1.468	1	0	0	4	147	0	0	1	3	15	1	0	2	480
1.469	1	0	0	4	147	1	0	1	1	14	1	0	2	158
1.478	3	0	0	1	148	0	0	1	1	15	1	0	10	876
1.479	3	0	0	1	148	1	0	1	1	14	1	0	10	876
1.497	1	0	0	1	149	9	0	1	5	15	1	0	0	583
1.499	3	0	0	1	150	1	0	1	1	15	1	0	10	876
1.5	3	0	0	1	150	2	0	1	1	14	1	0	10	876
1.511	3	0	0	2	151	3	0	1	1	15	1	0	0	114
1.524	3	0	0	1	152	6	0	1	1	15	1	0	8	641
1.525	3	0	0	2	152	7	0	1	1	15	1	0	28	4030
1.531	3	0	0	2	153	3	0	1	1	15	1	0	28	4030
1.539	3	0	0	2	154	1	0	1	1	15	1	0	28	4030
1.544	1	0	0	1	154	6	0	1	1	15	1	0	0	114
1.545	3	0	0	2	154	7	0	1	1	15	1	0	28	4030
1.551	3	0	0	2	155	3	0	1	1	15	1	0	28	4030
1.556	1	0	0	1	155	8	0	1	1	14	1	0	0	114
1.557	3	0	0	2	155	9	0	1	1	15	1	0	28	4030
1.563	3	0	0	2	156	5	0	1	1	15	1	0	28	4030
1.569	3	0	0	2	157	1	0	1	1	15	1	0	28	4030
1.575	3	0	0	2	157	7	0	1	1	15	1	0	28	4030
1.583	3	0	0	2	158	5	0	1	1	15	1	0	28	4030
1.589	3	0	0	2	159	1	0	1	1	15	1	0	28	4030
1.595	3	0	0	2	159	7	0	1	1	15	1	0	28	4030
1.603	3	0	0	2	160	5	0	1	1	15	1	0	28	4030
1.609	3	0	0	2	161	1	0	1	1	15	1	0	28	4030
1.615	3	0	0	2	161	7	0	1	1	15	1	0	28	4030
1.621	3	0	0	2	162	3	0	1	1	15	1	0	28	4030
1.627	3	0	0	2	162	9	0	1	1	15	1	0	28	4030
1.633	3	0	0	2	163	5	0	1	1	15	1	0	28	4030
1.639	3	0	0	2	164	1	0	1	1	15	1	0	28	4030
1.645	3	0	0	2	164	7	0	1	1	15	1	0	28	4030
1.65	1	0	0	1	165	2	0	1	4	15	1	0	0	466
1.651	3	0	0	2	165	3	0	1	1	15	1	0	28	4030
1.657	3	0	0	2	165	9	0	1	1	15	1	0	28	4030
1.663	3	0	0	2	166	5	0	1	1	15	1	0	28	4030
1.669	3	0	0	2	167	1	0	1	1	15	1	0	28	4030
1.675	3	0	0	2	167	7	0	1	1	15	1	0	28	4030
1.681	3	0	0	2	168	3	0	1	1	15	1	0	28	4030
1.686	3	0	0	2	168	8	0	1	1	15	1	0	28	4030
1.692	3	0	0	2	169	4	0	1	1	15	1	0	28	4030
1.695	1	0	0	1	169	7	0	1	1	15	1	0	0	114
1.697	1	0	0	1	169	9	0	1	1	14	1	0	0	114
1.698	1	0	0	1	170	0	0	1	1	13	1	0	0	114
1.698	3	0	0	2	170	0	0	1	1	15	1	0	28	4030
1.699	1	0	0	1	170	1	0	1	1	12	1	0	0	114
1.706	3	0	0	2	170	8	0	1	1	15	1	0	28	4030
1.712	3	0	0	2	171	4	0	1	1	15	1	0	28	4030
1.713	1	0	0	1	171	5	0	1	1	15	1	0	0	114
1.718	3	0	0	2	172	0	0	1	1	15	1	0	28	4030
1.726	3	0	0	2	172	8	0	1	1	15	1	0	28	4030
1.731	3	0	0	2	173	3	0	1	1	15	1	0	28	4030
1.734	1	0	0	1	173	6	0	1	1	15	1	0	0	114
1.737	3	0	0	2	173	9	0	1	1	15	1	0	28	4030
1.745	3	0	0	2	174	7	0	1	1	15	1	0	28	4030
1.751	3	0	0	2	175	3	0	1	1	15	1	0	28	4030
1.757	3	0	0	2	175	9	0	1	1	15	1	0	28	4030
1.763	3	0	0	2	176	5	0	1	1	15	1	0	28	4030
1.769	3	0	0	2	177	1	0	1	1	15	1	0	28	4030
1.775	3	0	0	2	177	7	0	1	1	15	1	0	28	4030
1.781	3	0	0	2	178	3	0	1	1	15	1	0	28	4030
1.788	3	0	0	2	179	0	0	1	1	15	1	0	28	4030
1.794	3	0	0	2	179	6	0	1	1	15	1	0	28	4030
1.802	3	0	0	2	180	4	0	1	1	15	1	0	28	4030
1.807	3	0	0	2	180	9	0	1	1	15	1	0	28	4030
1.813	3	0	0	2	181	5	0	1	1	15	1	0	28	4030
1.821	3	0	0	2	182	3	0	1	1	15	1	0	28	4030
1.823	1	0	0	1	182	5	0	1	3	15	1	0	0	348
1.827	3	0	0	2	182	9	0	1	1	15	1	0	28	4030
1.833	3	0	0	2	183	5	0	1	1	15	1	0	28	4030
1.841	3	0	0	2	184	3	0	1	1	15	1	0	28	4030
1.846	3	0	0	2	184	8	0	1	1	15	1	0	28	4030
1.852	3	0	0	2	185	4	0	1	1	15	1	0	28	4030
1.858	3	0	0	2	186	0	0	1	1	15	1	0	28	4030
1.866	3	0	0	2	186	8	0	1	1	15	1	0	28	4030
1.868	1	0	0	1	187	0	0	1	1	15	1	0	0	114
1.872	3	0	0	2	187	4	0	1	1	15	1	0	28	4030
1.876	1	0	0	1	187	8	0	1	2	14	1	0	0	231
1.879	3	0	0	2	188	1	0	1	1	15	1	0	28	4030
1.885	3	0	0	2	188	7	0	1	1	15	1	0	28	4030
1.891	3	0	0	2	189	3	0	1	1	15	1	0	28	4030
1.896	3	0	0	2	189	8	0	1	1	15	1	0	28	4030
1.905	3	0	0	2	190	7	0	1	1	15	1	0	28	4030
1.911	3	0	0	2	191	3	0	1	1	15	1	0	28	4030
1.917	1	0	0	1	191	9	0	1	1	15	1	0	0	114
1.919	3	0	0	2	192	1	0	1	1	15	1	0	28	4030
1.923	1	0	0	1	192	5	0	1	1	14	1	0	0	114
1.925	3	0	0	2	192	7	0	1	1	15	1	0	28	4030
1.927	1	0	0	1	192	9	0	1	1	15	1	0	0	114
1.931	3	0	0	2	193	3	0	1	1	15	1	0	28	4030
1.937	3	0	0	2	193	9	0	1	1	15	1	0	28	4030
1.94	1	0	0	1	194	2	0	1	1	14	1	0	0	114
1.943	3	0	0	2	194	5	0	1	1	15	1	0	28	4030
1.949	3	0	0	2	195	1	0	1	1	15	1	0	28	4030
1.95	1	0	0	1	195	2	0	1	1	15	1	0	0	114
1.955	3	0	0	2	195	7	0	1	1	15	1	0	28	4030
1.961	3	0	0	2	196	3	0	1	1	15	1	0	28	4030
1.967	3	0	0	2	196	9	0	1	1	15	1	0	28	4030
1.973	3	0	0	2	197	5	0	1	1	15	1	0	28	4030
1.979	3	0	0	2	198	1	0	1	1	15	1	0	28	4030
1.985	3	0	0	2	198	7	0	1	1	15	1	0	28	4030
1.991	3	0	0	2	199	3	0	1	1	15	1	0	28	4030
1.997	3	0	0	2	199	9	0	1	1	15	1	0	28	4030
2.003	3	0	0	2	200	5	0	1	1	15	1	0	28	4030
2.01	3	0	0	2	201	2	0	1	1	15	1	0	28	4030
2.011	3	0	0	4	201	3	0	1	1	15	1	0	0	114
2.017	3	0	0	2	201	9	0	1	1	15	1	0	28	4030
2.023	3	0	0	2	202	5	0	1	1	15	1	0	28	4030
2.03	3	0	0	2	203	2	0	1	1	15	1	0	28	4030
2.031	3	0	0	4	203	3	0	1	1	15	1	0	10	876
2.032	3	0	0	4	203	4	0	1	1	14	1	0	10	876
2.036	3	0	0	2	203	8	0	1	1	15	1	0	28	4030
2.042	3	0	0	2	204	4	0	1	1	15	1	0	28	4030
2.047	3	0	0	2	204	9	0	1	1	15	1	0	28	4030
2.056	3	0	0	4	205	8	0	1	1	15	1	0	10	876
2.056	3	0	0	2	205	8	0	2	1	15	1	0	28	4030
2.057	3	0	0	4	205	9	0	1	1	14	1	0	10	876
2.059	1	0	0	1	206	1	0	1	3	15	1	0	0	348
2.061	3	0	0	2	206	3	0	1	1	15	1	0	28	4030
2.069	3	0	0	2	207	1	0	1	1	15	1	0	28	4030
2.075	3	0	0	2	207	7	0	1	1	15	1	0	28	4030
2.076	3	0	0	4	207	8	0	1	1	15	1	0	8	641
2.077	3	0	0	4	207	9	0	1	1	14	1	0	8	641
2.083	3	0	0	2	208	5	0	1	1	15	1	0	28	4030
2.089	3	0	0	2	209	1	0	1	1	15	1	0	28	4030
2.095	3	0	0	2	209	7	0	1	1	15	1	0	28	4030
2.096	3	0	0	4	209	8	0	1	1	15	1	0	8	641
2.101	1	0	0	1	210	3	0	1	2	15	1	0	0	231
2.101	3	0	0	2	210	3	0	1	1	15	1	0	28	4030
2.102	3	0	0	4	210	4	0	1	1	15	1	0	8	641
2.104	1	0	0	1	210	6	0	1	1	14	1	0	0	114
2.107	3	0	0	2	210	9	0	1	1	15	1	0	28	4030
2.113	3	0	0	2	211	5	0	1	1	15	1	0	28	4030
2.115	3	0	0	4	211	7	0	1	1	15	1	0	8	641
2.116	3	0	0	4	211	8	0	1	1	14	1	0	8	641
2.119	3	0	0	2	212	1	0	1	1	15	1	0	28	4030
2.125	3	0	0	2	212	7	0	1	1	15	1	0	28	4030
2.131	3	0	0	2	213	3	0	1	1	15	1	0	28	4030
2.137	3	0	0	2	213	9	0	1	1	15	1	0	28	4030
2.143	3	0	0	2	214	5	0	1	1	15	1	0	28	4030
2.144	1	0	0	1	214	6	0	1	1	15	1	0	0	114
2.149	3	0	0	2	215	1	0	1	1	15	1	0	28	4030
2.152	1	0	0	1	215	4	0	1	1	14	1	0	0	114
2.155	3	0	0	2	215	7	0	1	1	15	1	0	28	4030
2.161	3	0	0	2	216	3	0	1	1	15	1	0	28	4030
2.165	1	0	0	1	216	7	0	1	1	15	1	0	0	114
2.166	3	0	0	2	216	8	0	1	1	15	1	0	28	4030
2.171	1	0	0	1	217	3	0	1	1	14	1	0	0	114
2.173	1	0	0	1	217	5	0	1	1	13	1	0	0	114
2.175	3	0	0	2	217	7	0	1	1	15	1	0	28	4030
2.181	3	0	0	2	218	3	0	1	1	15	1	0	28	4030
2.189	3	0	0	2	219	1	0	1	1	15	1	0	28	4030
2.195	3	0	0	2	219	7	0	1	1	15	1	0	28	4030
2.198	1	0	0	1	220	0	0	1	1	15	1	0	0	114
2.2	1	0	0	1	220	2	0	1	1	14	1	0	0	114
2.201	1	0	0	1	220	3	0	1	1	13	1	0	0	114
2.201	3	0	0	2	220	3	0	1	1	15	1	0	28	4030
2.202	1	0	0	2	220	4	0	1	1	15	1	0	4	275
2.209	3	0	0	2	221	1	0	1	1	15	1	0	28	4030
2.215	3	0	0	2	221	7	0	1	1	15	1	0	28	4030
2.221	3	0	0	2	222	3	0	1	1	15	1	0	28	4030
2.229	3	0	0	2	223	1	0	1	1	15	1	0	28	4030
2.233	1	0	0	2	223	5	0	1	1	15	1	0	6	436
2.235	1	0	0	1	223	7	0	1	1	15	1	0	0	114
2.235	3	0	0	2	223	7	0	1	1	15	1	0	28	4030
2.236	1	0	0	1	223	8	0	1	1	14	1	0	0	114
2.238	1	0	0	1	224	0	0	1	1	13	1	0	0	114
2.241	3	0	0	2	224	3	0	1	1	15	1	0	28	4030
2.246	3	0	0	2	224	8	0	1	1	15	1	0	28	4030
2.255	3	0	0	2	225	7	0	1	1	15	1	0	28	4030
2.258	1	0	0	2	226	0	0	1	1	15	1	0	4	275
2.261	3	0	0	2	226	3	0	1	1	15	1	0	28	4030
2.263	1	0	0	2	226	5	0	1	1	15	1	0	4	275
2.269	3	0	0	2	227	1	0	1	1	15	1	0	28	4030
2.271	1	0	0	1	227	3	0	1	1	15	1	0	0	114
2.272	1	0	0	1	227	4	0	1	1	14	1	0	0	114
2.275	3	0	0	2	227	7	0	1	1	15	1	0	28	4030
2.281	1	0	0	2	228	3	0	2	1	15	1	0	4	275
2.281	3	0	0	2	228	3	0	1	1	15	1	0	28	4030
2.282	1	0	0	2	228	4	0	1	1	14	1	0	4	275
2.287	3	0	0	2	228	9	0	1	1	15	1	0	28	4030
2.295	3	0	0	2	229	7	0	1	1	15	1	0	28	4030
2.301	3	0	0	2	230	3	0	1	1	15	1	0	28	4030
2.306	1	0	0	3	230	8	0	1	1	15	1	0	6	436
2.306	1	0	0	2	230	8	0	2	1	15	1	0	4	275
2.307	3	0	0	2	230	9	0	1	1	15	1	0	28	4030
2.313	3	0	0	2	231	5	0	1	1	15	1	0	28	4030
2.319	3	0	0	2	232	1	0	1	1	15	1	0	28	4030
2.326	3	0	0	2	232	8	0	1	1	15	1	0	28	4030
2.331	3	0	0	2	233	3	0	1	1	15	1	0	28	4030
2.334	1	0	0	3	233	6	0	1	1	15	1	0	8	641
2.334	1	0	0	2	233	6	0	2	1	15	1	0	4	275
2.334	1	0	0	1	233	6	0	3	1	15	1	0	0	114
2.335	1	0	0	2	233	7	0	1	1	14	1	0	4	275
2.335	1	0	0	1	233	7	0	2	1	14	1	0	0	114
2.337	3	0	0	2	233	9	0	1	1	15	1	0	28	4030
2.343	3	0	0	2	234	5	0	1	1	15	1	0	28	4030
2.349	3	0	0	2	235	1	0	1	1	15	1	0	28	4030
2.355	3	0	0	2	235	7	0	1	1	15	1	0	28	4030
2.361	3	0	0	2	236	3	0	1	1	15	1	0	28	4030
2.367	3	0	0	2	236	9	0	1	1	15	1	0	28	4030
2.369	1	0	0	3	237	1	0	1	1	15	1	0	8	641
2.37	1	0	0	2	237	2	0	1	1	15	1	0	4	275
2.373	3	0	0	2	237	5	0	1	1	15	1	0	28	4030
2.374	1	0	0	1	237	6	0	1	1	15	1	0	0	114
2.379	3	0	0	2	238	1	0	1	1	15	1	0	28	4030
2.387	3	0	0	2	238	9	0	1	1	15	1	0	28	4030
2.393	3	0	0	2	239	5	0	1	1	15	1	0	28	4030
2.399	1	0	0	3	240	1	0	1	1	15	1	0	8	641
2.399	1	0	0	2	240	1	0	2	2	15	1	0	4	553
2.399	3	0	0	2	240	1	0	1	1	15	1	0	28	4030
2.405	3	0	0	2	240	7	0	1	1	15	1	0	28	4030
2.413	3	0	0	2	241	5	0	1	1	15	1	0	28	4030
2.419	3	0	0	2	242	1	0	1	1	15	1	0	28	4030
2.425	3	0	0	2	242	7	0	1	1	15	1	0	28	4030
2.426	1	0	0	2	242	8	0	2	2	15	1	0	4	553
2.426	1	0	0	1	242	8	0	4	1	15	1	0	0	114
2.427	1	0	0	1	242	9	0	1	1	14	1	0	0	114
2.433	3	0	0	2	243	5	0	1	1	15	1	0	28	4030
2.438	1	0	0	4	244	0	0	1	1	15	1	0	2	158
2.439	3	0	0	2	244	1	0	1	1	15	1	0	28	4030
2.445	3	0	0	2	244	7	0	1	1	15	1	0	28	4030
2.449	1	0	0	3	245	1	0	1	1	15	1	0	8	641
2.449	1	0	0	2	245	1	0	2	1	15	1	0	6	436
2.451	3	0	0	2	245	3	0	1	1	15	1	0	28	4030
2.457	3	0	0	2	245	9	0	1	1	15	1	0	28	4030
2.463	3	0	0	2	246	5	0	1	1	15	1	0	28	4030
2.471	3	0	0	2	247	3	0	1	1	15	1	0	28	4030
2.476	1	0	0	4	247	8	0	1	1	15	1	0	2	158
2.476	1	0	0	3	247	8	0	2	1	15	1	0	8	641
2.476	1	0	0	2	247	8	0	3	1	15	1	0	6	436
2.476	1	0	0	1	247	8	0	4	1	15	1	0	0	114
2.477	3	0	0	2	247	9	0	1	1	15	1	0	28	4030
2.483	3	0	0	2	248	5	0	1	1	15	1	0	28	4030
2.488	1	0	0	1	249	0	0	1	1	15	1	0	0	114
2.489	3	0	0	2	249	1	0	1	1	15	1	0	28	4030
2.495	3	0	0	2	249	7	0	1	1	15	1	0	28	4030
2.502	3	0	0	2	250	4	0	1	1	15	1	0	28	4030
2.503	3	0	0	1	250	5	0	1	1	15	1	0	8	641
2.507	1	0	0	3	250	9	0	2	1	15	1	0	8	641
2.508	1	0	0	2	251	0	0	1	1	15	1	0	6	436
2.508	1	0	0	1	251	0	0	2	1	14	1	0	0	114
2.509	3	0	0	2	251	1	0	1	1	15	1	0	28	4030
2.51	1	0	0	4	251	2	0	1	1	15	1	0	2	158
2.514	1	0	0	1	251	6	0	1	1	15	1	0	0	114
2.514	3	0	0	2	251	6	0	1	1	15	1	0	28	4030
2.52	3	0	0	2	252	2	0	1	1	15	1	0	28	4030
2.523	3	0	0	1	252	5	0	1	1	15	1	0	8	641
2.527	3	0	0	2	252	9	0	1	1	15	1	0	28	4030
2.534	3	0	0	2	253	6	0	1	1	15	1	0	28	4030
2.54	3	0	0	2	254	2	0	1	1	15	1	0	28	4030
2.543	3	0	0	1	254	5	0	1	1	15	1	0	8	641
2.546	3	0	0	2	254	8	0	1	1	15	1	0	28	4030
2.554	1	0	0	4	255	6	0	2	1	15	1	0	2	158
2.554	1	0	0	3	255	6	0	3	1	15	1	0	8	641
2.554	1	0	0	2	255	6	0	4	1	15	1	0	6	436
2.554	3	0	0	2	255	6	0	1	1	15	1	0	28	4030
2.556	1	0	0	1	255	8	0	1	1	14	1	0	0	114
2.557	1	0	0	1	255	9	0	1	1	13	1	0	0	114
2.56	1	0	0	4	256	2	0	1	1	15	1	0	2	158
2.56	3	0	0	2	256	2	0	1	1	15	1	0	28	4030
2.563	3	0	0	1	256	5	0	1	1	15	1	0	8	641
2.566	3	0	0	2	256	8	0	1	1	15	1	0	28	4030
2.572	3	0	0	2	257	4	0	1	1	15	1	0	28	4030
2.58	3	0	0	2	258	2	0	1	1	15	1	0	28	4030
2.586	3	0	0	2	258	8	0	1	1	15	1	0	28	4030
2.588	3	0	0	1	259	0	0	1	1	15	1	0	8	641
2.594	1	0	0	3	259	6	0	1	1	15	1	0	8	641
2.594	1	0	0	2	259	6	0	2	1	15	1	0	6	436
2.594	3	0	0	2	259	6	0	1	1	15	1	0	28	4030
2.6	3	0	0	2	260	2	0	1	1	15	1	0	28	4030
2.606	1	0	0	4	260	8	0	1	1	15	1	0	0	114
2.606	1	0	0	1	260	8	0	2	2	15	1	0	0	231
2.606	3	0	0	2	260	8	0	1	1	15	1	0	28	4030
2.613	3	0	0	2	261	5	0	1	1	15	1	0	28	4030
2.613	3	0	0	1	261	5	0	2	1	15	1	0	8	641
2.614	3	0	0	1	261	6	0	1	1	14	1	0	8	641
2.616	1	0	0	4	261	8	0	3	1	15	1	0	0	114
2.616	1	0	0	2	261	8	0	4	1	15	1	0	6	436
2.62	1	0	0	1	262	2	0	1	1	14	1	0	0	114
2.62	3	0	0	2	262	2	0	1	1	15	1	0	28	4030
2.624	1	0	0	3	262	6	0	1	1	15	1	0	8	641
2.626	3	0	0	2	262	8	0	1	1	15	1	0	28	4030
2.633	3	0	0	2	263	5	0	1	1	15	1	0	28	4030
2.638	3	0	0	1	264	0	0	1	1	15	1	0	8	641
2.64	3	0	0	2	264	2	0	1	1	15	1	0	28	4030
2.646	3	0	0	2	264	8	0	1	1	15	1	0	28	4030
2.652	3	0	0	2	265	4	0	1	1	15	1	0	28	4030
2.653	1	0	0	4	265	5	0	2	1	15	1	0	2	158
2.653	1	0	0	3	265	5	0	3	1	15	1	0	8	641
2.653	1	0	0	2	265	5	0	4	1	15	1	0	6	436
2.661	3	0	0	2	266	3	0	1	1	15	1	0	28	4030
2.663	3	0	0	1	266	5	0	1	1	15	1	0	8	641
2.664	3	0	0	1	266	6	0	1	1	14	1	0	8	641
2.667	3	0	0	2	266	9	0	1	1	15	1	0	28	4030
2.675	3	0	0	2	267	7	0	1	1	15	1	0	28	4030
2.681	3	0	0	2	268	3	0	1	1	15	1	0	28	4030
2.684	1	0	0	4	268	6	0	1	2	15	1	0	2	319
2.684	1	0	0	3	268	6	0	3	1	15	1	0	8	641
2.684	1	0	0	2	268	6	0	4	1	15	1	0	6	436
2.684	1	0	0	1	268	6	0	5	2	15	1	0	0	231
2.687	3	0	0	2	268	9	0	1	1	15	1	0	28	4030
2.687	3	0	0	1	268	9	0	2	1	15	1	0	8	641
2.689	1	0	0	4	269	1	0	1	1	15	1	0	2	158
2.689	3	0	0	1	269	1	0	1	1	14	1	0	8	641
2.693	3	0	0	2	269	5	0	1	1	15	1	0	28	4030
2.699	3	0	0	2	270	1	0	1	1	15	1	0	28	4030
2.705	3	0	0	2	270	7	0	1	1	15	1	0	28	4030
2.707	3	0	0	1	270	9	0	1	1	15	1	0	8	641
2.711	3	0	0	2	271	3	0	1	1	15	1	0	28	4030
2.717	3	0	0	2	271	9	0	1	1	15	1	0	28	4030
2.723	3	0	0	2	272	5	0	1	1	15	1	0	28	4030
2.729	3	0	0	2	273	1	0	1	1	15	1	0	28	4030
2.731	1	0	0	4	273	3	0	1	1	15	1	0	2	158
2.731	1	0	0	3	273	3	0	2	1	15	1	0	8	641
2.731	1	0	0	2	273	3	0	3	1	15	1	0	6	436
2.731	1	0	0	1	273	3	0	4	1	15	1	0	0	114
2.732	1	0	0	4	273	4	0	1	1	14	1	0	2	158
2.732	1	0	0	1	273	4	0	2	1	14	1	0	0	114
2.733	1	0	0	4	273	5	0	1	1	13	1	0	2	158
2.735	3	0	0	2	273	7	0	1	1	15	1	0	28	4030
2.737	3	0	0	1	273	9	0	1	1	15	1	0	8	641
2.741	1	0	0	1	274	3	0	1	1	15	1	0	0	114
2.741	3	0	0	2	274	3	0	1	1	15	1	0	28	4030
2.747	3	0	0	2	274	9	0	2	1	15	1	0	28	4030
2.753	3	0	0	2	275	5	0	1	1	15	1	0	28	4030
2.759	3	0	0	2	276	1	0	1	1	15	1	0	28	4030
2.765	3	0	0	2	276	7	0	1	1	15	1	0	28	4030
2.77	1	0	0	4	277	2	0	2	1	15	1	0	2	158
2.77	1	0	0	3	277	2	0	3	1	15	1	0	8	641
2.77	1	0	0	2	277	2	0	4	1	15	1	0	6	436
2.772	1	0	0	4	277	4	0	1	1	14	1	0	2	158
2.772	1	0	0	1	277	4	0	2	1	14	1	0	0	114
2.773	3	0	0	1	277	5	0	1	1	15	1	0	8	641
2.774	1	0	0	4	277	6	0	1	1	13	1	0	2	158
2.774	3	0	0	2	277	6	0	1	1	15	1	0	28	4030
2.78	3	0	0	2	278	2	0	1	1	15	1	0	28	4030
2.781	1	0	0	1	278	3	0	1	1	15	1	0	0	114
2.788	3	0	0	2	279	0	0	1	1	15	1	0	28	4030
2.794	3	0	0	2	279	6	0	1	1	15	1	0	28	4030
2.798	3	0	0	1	280	0	0	1	1	15	1	0	8	641
2.8	3	0	0	2	280	2	0	1	1	15	1	0	28	4030
2.806	3	0	0	2	280	8	0	1	1	15	1	0	28	4030
2.812	1	0	0	4	281	4	0	2	1	15	1	0	0	114
2.812	1	0	0	3	281	4	0	3	1	15	1	0	8	641
2.812	1	0	0	2	281	4	0	4	1	15	1	0	6	436
2.812	3	0	0	2	281	4	0	1	1	15	1	0	28	4030
2.814	1	0	0	4	281	6	0	1	1	14	1	0	0	114
2.814	1	0	0	1	281	6	0	2	1	14	1	0	0	114
2.816	3	0	0	1	281	8	0	1	1	15	1	0	8	641
2.818	3	0	0	2	282	0	0	1	1	15	1	0	28	4030
2.832	3	0	0	2	283	4	0	1	1	15	1	0	28	4030
2.838	3	0	0	2	284	0	0	1	1	15	1	0	28	4030
2.841	3	0	0	1	284	3	0	1	1	15	1	0	8	641
2.846	3	0	0	2	284	8	0	1	1	15	1	0	28	4030
2.85	1	0	0	4	285	2	0	1	1	15	1	0	2	158
2.85	1	0	0	3	285	2	0	2	1	15	1	0	8	641
2.85	1	0	0	2	285	2	0	3	1	15	1	0	6	436
2.85	1	0	0	1	285	2	0	4	1	15	1	0	0	114
2.851	1	0	0	2	285	3	0	1	1	14	1	0	6	436
2.851	1	0	0	1	285	3	0	2	1	14	1	0	0	114
2.851	3	0	0	2	285	3	0	1	1	15	1	0	28	4030
2.857	3	0	0	2	285	9	0	1	1	15	1	0	28	4030
2.86	3	0	0	1	286	2	0	1	1	15	1	0	8	641
2.863	1	0	0	1	286	5	0	1	1	13	1	0	0	114
2.865	3	0	0	2	286	7	0	1	1	15	1	0	28	4030
2.871	3	0	0	2	287	3	0	1	1	15	1	0	28	4030
2.877	3	0	0	2	287	9	0	1	1	15	1	0	28	4030
2.883	3	0	0	2	288	5	0	1	1	15	1	0	28	4030
2.885	1	0	0	4	288	7	0	2	1	15	1	0	2	158
2.885	1	0	0	3	288	7	0	3	1	15	1	0	8	641
2.885	1	0	0	2	288	7	0	4	1	15	1	0	6	436
2.885	3	0	0	1	288	7	0	1	1	15	1	0	10	876
2.891	3	0	0	2	289	3	0	1	1	15	1	0	28	4030
2.894	1	0	0	1	289	6	0	1	1	15	1	0	0	114
2.897	3	0	0	2	289	9	0	1	1	15	1	0	28	4030
2.903	3	0	0	2	290	5	0	1	1	15	1	0	28	4030
2.909	3	0	0	2	291	1	0	1	1	15	1	0	28	4030
2.91	3	0	0	1	291	2	0	1	1	15	1	0	10	876
2.917	3	0	0	2	291	9	0	1	1	15	1	0	28	4030
